Time;Name;Nationality;Date;Event;;;;;
2:55:18.4;Johnny Hayes;ÿUnited States;July 24, 1908;London,ÿUnited Kingdom;;;;;
2:52:45.4;Robert Fowler;ÿUnited States;January 1, 1909;Yonkers,ÿUnited States;;;;;
2:46:52.8;James Clark;ÿUnited States;February 12, 1909;New York City,ÿUnited States;;;;;
2:46:04.6;Albert Raines;ÿUnited States;May 8, 1909;New York City,ÿUnited States;;;;;
2:42:31.0;Henry Barrett;ÿUnited Kingdom;May 26, 1909;Polytechnic Marathon,ÿLondon,ÿUnited Kingdom;;;;;
2:40:34.2;Thure Johansson;ÿSweden;August 31, 1909;Stockholm,ÿSweden;;;;;
2:38:16.2;Harry Green;ÿUnited Kingdom;May 12, 1913;Polytechnic Marathon;;;;;
2:36:06.6;Alexis Ahlgren;ÿSweden;May 31, 1913;Polytechnic Marathon;;;;;
2:38:00.8;Umberto Blasi;ÿItaly;November 29, 1914;Legnano,ÿItaly;;;;;
2:32:35.8;Hannes Kolehmainen;ÿFinland;August 22, 1920;Antwerp, Belgium;;;;;
2:29:01.8;Albert Michelsen;ÿUnited States;October 12, 1925;Port Chester,ÿUnited States;;;;;
2:30:57.6;Harry Payne;ÿUnited Kingdom;July 5, 1929;London;;;;;
2:26:14;Sohn Kee-chung;Korea;March 21, 1935;Tokyo,ÿJapan;;;;;
2:27:49.0;Fusashige Suzuki;ÿJapan;March 31, 1935;Tokyo,ÿJapan;;;;;
2:26:44.0;Yasuo Ikenaka;ÿJapan;April 3, 1935;Tokyo,ÿJapan;;;;;
2:26:42;Sohn Kee-chung;ÿKorea;November 3, 1935;Tokyo,ÿJapan;;;;;
2:25:39;Suh Yun-bok;ÿKorea;April 19, 1947;Boston Marathon;;;;;
2:20:42.2;Jim Peters;ÿUnited Kingdom;June 14, 1952;Polytechnic Marathon;;;;;
2:18:40.4;Jim Peters;ÿUnited Kingdom;June 13, 1953;Polytechnic Marathon;;;;;
2:18:34.8;Jim Peters;ÿUnited Kingdom;October 4, 1953;Turku Marathon;;;;;
2:17:39.4;Jim Peters;ÿUnited Kingdom;June 26, 1954;Polytechnic Marathon;;;;;
2:18:04.8;Paavo Kotila;ÿFinland;August 12, 1956;Pieks„m„ki, Finland;;;;;
2:15:17.0;Sergei Popov;ÿSoviet Union;August 24, 1958;Stockholm, Sweden;;;;;
2:15:16.2;Abebe Bikila;ÿEthiopia;September 10, 1960;Rome, Italy;;;;;
2:15:15.8;Toru Terasawa;ÿJapan;February 17, 1963;Beppu-?ita Marathon;;;;;
2:14:28;Leonard Edelen;ÿUnited States;June 15, 1963;Polytechnic Marathon;;;;;
2:14:43;Brian Kilby;ÿUnited Kingdom;July 6, 1963;Port Talbot,ÿWales;;;;;
2:13:55;Basil Heatley;ÿUnited Kingdom;June 13, 1964;Polytechnic Marathon;;;;;
2:12:11.2;Abebe Bikila;ÿEthiopia;October 21, 1964;Tokyo, Japan;;;;;
2:12:00;Morio Shigematsu;ÿJapan;June 12, 1965;Polytechnic Marathon;;;;;
2:09:36.4;Derek Clayton;ÿAustralia;December 3, 1967;Fukuoka Marathon;;;;;
2:08:33.6;Derek Clayton;ÿAustralia;May 30, 1969;Antwerp,ÿBelgium;;;;;
2:09:28.8;Ron Hill;ÿUnited Kingdom;July 23, 1970;Edinburgh, Scotland;;;;;
2:09:12;Ian Thompson;ÿUnited Kingdom;January 31, 1974;Christchurch, New Zealand;;;;;
2:09:05.6;Shigeru So;ÿJapan;February 5, 1978;Beppu-?ita Marathon;;;;;
2:09:01;Gerard Nijboer;ÿNetherlands;April 26, 1980;Amsterdam Marathon;;;;;
2:08:18;Robert De Castella;ÿAustralia;December 6, 1981;Fukuoka Marathon;;;;;
2:08:05;Steve Jones;ÿUnited Kingdom;October 21, 1984;Chicago Marathon;;;;;
2:07:12;Carlos Lopes;ÿPortugal;April 20, 1985;Rotterdam Marathon;;;;;
2:06:50;Belayneh Dinsamo;ÿEthiopia;April 17, 1988;Rotterdam Marathon;;;;;
2:06:05;Ronaldo da Costa;ÿBrazil;September 20, 1998;Berlin Marathon;;;;;
2:05:42;Khalid Khannouchi;ÿMorocco;October 24, 1999;Chicago Marathon;;;;;
2:05:38;Khalid Khannouchi;ÿUnited States;April 14, 2002;London Marathon;;;;;
2:04:55;Paul Tergat;ÿKenya;September 28, 2003;Berlin Marathon;;;;;
2:04:26;Haile Gebrselassie;ÿEthiopia;September 30, 2007;Berlin Marathon;;;;;
2:03:59;Haile Gebrselassie;ÿEthiopia;September 28, 2008;Berlin Marathon;;;;;
2:03:38;Patrick Makau;ÿKenya;September 25, 2011;Berlin Marathon;;;;;
2:03:23;Wilson Kipsang;ÿKenya;September 29, 2013;Berlin Marathon;;;;;
2:02:57;Dennis Kimetto;ÿKenya;September 28, 2014;Berlin Marathon;;;;;
2:01:39;Eliud Kipchoge;ÿKenya;September 16, 2018;Berlin Marathon;;;;;
